zip,place,total_pop,cases,deaths,note
28792,Hendersonville,37949,896,41,
28801,Asheville,16782,195,4,
28803,Asheville,34731,426,11,
28804,Asheville,23302,167,6,
28805,Asheville,20394,213,11,
28806,Asheville,43841,749,30,
28901,Andrews,6039,177,5,
28902,Brasstown,1562,23,0,
28904,Hayesville,9535,108,2,
28905,Marble,3548,55,1,
28906,Murphy,20296,398,6,
28909,Warne,1068,9,0,
27969,Roduco,0,,,Population <500 and Cases <5
28253,Charlotte,0,,,Population <500 and Cases <5
28608,Boone,0,21,0,
27533,,0,446,2,
